SKELID	TILUDRONATE
NUCLEOCARDYL	ADENOSINE
TRIAMINIC DM LONG LASTING FOR CHILDREN	DEXTROMETHORPHAN
TAMATE	MEPROBAMATE
DOMPERIDONE	DOMPERIDONE
CEFPROZILUM [INN-LATIN]	CEFPROZIL
ESMARIN	TRICHLORMETHIAZIDE
SELZENTRY	MARAVIROC
DULOXETINE HCL	DULOXETINE
OXYBUCAINE	OXYBUPROCAINE
DIABINESE	CHLORPROPAMIDE
DIATRIZOATE	DIATRIZOATE
SULFANYL]-8-OXO-5-THIA-1-AZABICYCLO[4.2.0]	CEFTAROLINE FOSAMIL
BONBRRIN	THALIDOMIDE
SALSALATE	SALSALATE
ROSIMOL	ROSUVASTATIN
VINCRISTINE SULFATE PFS	VINCRISTINE
AZOSULFIZIN	SULFISOXAZOLE
LORACARBEFUM [INN-LATIN]	LORACARBEF
FURATSILIN	NITROFURAZONE
TDF	TENOFOVIR
DOLOXEN	PROPOXYPHENE
VELIUM	DIAZEPAM
HN2	MECHLORETHAMINE
UROGRANOIC ACID	DIATRIZOATE
DAFALGAN	ACETAMINOPHEN
CARBOXYBENZYLPENICILLIN	CARBENICILLIN
ACICLOVIR SODIUM	ACYCLOVIR
TIKOSYN	DOFETILIDE
ULTRACORTENE-H	PREDNISOLONE
FLUCLOXACILINA [INN-SPANISH]	FLUCLOXACILLIN
PROPRANOLOL HCL INTENSOL	PROPRANOLOL
PERPHENAZIN	PERPHENAZINE
RONTON	ETHOSUXIMIDE
FOLACID	FOLIC ACID
AUREOCARMYL	LYMECYCLINE
DIPHANTINE	DIPHENHYDRAMINE
FOLACIN	FOLIC ACID
SALAZOPYRIN	SULFASALAZINE
HEAVY SOLUTION NUPERCAINE	DIBUCAINE
HYDROXYZINE BASE	HYDROXYZINE
B-AUREO	LYMECYCLINE
DROTAVERIN	DROTAVERINE
NITROSORBID	ISOSORBIDE DINITRATE
PYRIDOXAL PHOSPHATE	PYRIDOXAL PHOSPHATE
ERGOTRATE	ERGONOVINE
EGLONIL	SULPIRIDE
CEVI-BID	VITAMIN C
BENTRIDE	BENDROFLUMETHIAZIDE
JICSRON	NALIDIXIC ACID
MESOPREN	METHYLPREDNISOLONE
NEBILONG	NEBIVOLOL
TARDAN	CHLORPROTHIXENE
FELOGARD	FELODIPINE
DIAFEN	DIPHENYLPYRALINE
CHINOIN	PHENOBARBITAL
SANTANOL	RANITIDINE
LEVOCABASTIN	LEVOCABASTINE
ROFERON A (HOFFMANN-LA ROCHE INC)	INTERFERON ALFA-2A, RECOMBINANT
DANANTIZOL	METHIMAZOLE
PMS-BACLOFEN	BACLOFEN
SUPROTAN	CHLORMEZANONE
FENOFIBRATUM [INN-LATIN]	FENOFIBRATE
DIURAPID	FUROSEMIDE
CALMETTEN	PHENOBARBITAL
GLYCONON	TOLBUTAMIDE
DROLEPTAN	DROPERIDOL
GUAIACOL GLYCERYL ETHER	GUAIFENESIN
PROTECTONA	DIETHYLSTILBESTROL
9 ALPHA FF	FLUDROCORTISONE
AZATIOPRIN	AZATHIOPRINE
DEIDROBENZPERIDOLO	DROPERIDOL
CHLOROGUANIDE	PROGUANIL
DESOPAN	TRILOSTANE
OSTEOSCAN	ETIDRONIC ACID
OXACILLIN	OXACILLIN
ANECTINE	SUCCINYLCHOLINE
CASWELL NO. 193	CLIOQUINOL
DIATRIZOIC ACID SODIUM SALT	DIATRIZOATE
MYAMBUTOL	ETHAMBUTOL
SILPHEN	DIPHENHYDRAMINE
H-NORTROPANE-2	IOFLUPANE I 123
OXIPHENBUTAZONUM	OXYPHENBUTAZONE
ESTRONE ESTRONE HYDROGEN SULFATE	CONJUGATED ESTROGENS
SURRENINE	EPINEPHRINE
FRUSETIC	FUROSEMIDE
REFACTO	ANTIHEMOPHILIC FACTOR
ACZ885	CANAKINUMAB
METHYLNALTREXONE	METHYLNALTREXONE
N-ETHYLMETHYLPHENYLBARBITURIC ACID	METHYLPHENOBARBITAL
I-SULFACET	SULFACETAMIDE
E-AMINOCAPROIC ACID	AMINOCAPROIC ACID
BENSYLYTE	PHENOXYBENZAMINE
ANTICORT	PROCAINE
PENLAC	CICLOPIROX
ITINEROL	MECLIZINE
ANDION	BECLOMETASONE DIPROPIONATE
NIFEDINE	NIFEDIPINE
TESAMORELIN	TESAMORELIN
N-(4-METHYLBENZENESULFONYL)-N'-(3-AZABICYCLO(3.3.0)OCT-3-YL)UREA	GLICLAZIDE
NORGESTIMATUM [INN-LATIN]	NORGESTIMATE
CEREDASE	ALGLUCERASE
IMPUGAN	FUROSEMIDE
NICOTIN	NICOTINE
OROLEVOL	MEPROBAMATE
MOXIFLOXACIN	MOXIFLOXACIN
BAFAMERITIN-M	MEFENAMIC ACID
ANTETHYL	DISULFIRAM
DIBUCAINE	DIBUCAINE
MEPHENON	METHADONE
DURACLON	CLONIDINE
ISOPROPYLADRENALINE	ISOPROTERENOL
TRISEM	SULFADIAZINE
TNKASE (GENENTECH INC)	TENECTEPLASE
NAVELBINE	VINORELBINE
TETRAMED	TETRACYCLINE
TOLUVAN	TOLBUTAMIDE
FLUCINAR	FLUOCINOLONE ACETONIDE
PRO-BANTHINE	PROPANTHELINE
MEFOXIN	CEFOXITIN
FLUCLOXACILLIN SODIUM	FLUCLOXACILLIN
APO-FAMOTIDINE	FAMOTIDINE
TETRACYCLINE II	TETRACYCLINE
HI-A-VITA	VITAMIN A
PROSTIN E2	DINOPROSTONE
EVATIN	FAMOTIDINE
GIHITAN	DIAZEPAM
FENACILIN	PENICILLIN V
ALIZAPRIDE	ALIZAPRIDE
EMO-NIK	NICOTINE
PIPEROCYANOMAZINE	PROPERICIAZINE
ANTI EGFR	CETUXIMAB
DYNOTHEL	DEXTROTHYROXINE
LIQUITAL	PHENOBARBITAL
OMEZOL	OMEPRAZOLE
HORMONISENE	CHLOROTRIANISENE
CONTRALIN	DISULFIRAM
BLOCKIN L	PINDOLOL
MUCINEX	GUAIFENESIN
LIQUOPHYLLINE	THEOPHYLLINE
PASOLAC	AMINOSALICYLIC ACID
MILTANN	MEPROBAMATE
CYCLOPHOSPHAMIDUM	CYCLOPHOSPHAMIDE
SERC	BETAHISTINE
SPRC-AB01	TOBRAMYCIN
RAMIPRIL	RAMIPRIL
SOPAQUIN	CHLOROQUINE
ICORAL B	METARAMINOL
ACERCOMP	LISINOPRIL
ABBOTT 45975	TERAZOSIN
TRANQDYN	DIAZEPAM
OXYBUTYNIN CHLORIDE	OXYBUTYNIN
CHLOLINCOCIN	CLINDAMYCIN
ANTI HER2	TRASTUZUMAB
CRYSTAL VIOLET O	GENTIAN VIOLET
HISTAMETHIZINE	MECLIZINE
CELLCEPT	MYCOPHENOLATE MOFETIL
KETOCANAZOLE	KETOCONAZOLE
SECOBARBITAL	SECOBARBITAL
GUAICOL GLYCERINE ETHER	GUAIFENESIN
DEBRISOQUIN	DEBRISOQUIN
NIFEDIPRES	NIFEDIPINE
1-P-HYDROXYPHENYL-2-PHENYL-3,5-DIOXO-4-N-BUTYLPYRAZOLIDINE	OXYPHENBUTAZONE
FIBROSONA	CARISOPRODOL
THILATAZIN	PERPHENAZINE
PURADIN	FURAZOLIDONE
PLATELET-DERIVED GROWTH FACTOR B CHAIN PRECURSOR	BECAPLERMIN
CETIRIZINUM [LATIN]	CETIRIZINE
HERRON BLUE	IBUPROFEN
CHLORPROPAMIDE	CHLORPROPAMIDE
NOVO-AZT	ZIDOVUDINE
CONDOL	ERGOCALCIFEROL
GELTHIX	TEMAZEPAM
ELANTAN LONG	ISOSORBIDE MONONITRATE
ESROMIOTIN	PHYSOSTIGMINE
CEFALEXINUM [INN-LATIN]	CEPHALEXIN
DIERGO	DIHYDROERGOTAMINE
MD	METHDILAZINE
DOLADENE	METHANTHELINE
EHT0201	PENTOXIFYLLINE
PILOCARPIN	PILOCARPINE
MP	MERCAPTOPURINE
MICROVAL	LEVONORGESTREL
ANTIHEMORRHAGIC VITAMIN	PHYTONADIONE
GASTRO	FAMOTIDINE
ZIMELIDINE	ZIMELIDINE
LOPAC-N-0630	NIFLUMIC ACID
BONBRAIN	THALIDOMIDE
ONCLAST	ALENDRONATE
PRONESTYL-SR	PROCAINAMIDE
DERMACAINE	DIBUCAINE
10-(3-DIMETHYLAMINOPROPYL)PHENOTHIAZINE-3-ETHYLONE	ACEPROMAZINE
PHOSPHONOFORMATE	FOSCARNET
TUBICON	ISONIAZID
BETAMETHAZONE	BETAMETHASONE
CHLORBUTINE	CHLORAMBUCIL
ORTHO N-5 DUST	NICOTINE
RAUMANON	ISONIAZID
LERCIGAN	PROMETHAZINE
INDERAL	PROPRANOLOL
G-MYCIN	GENTAMICIN
CLOPAX	CLOBAZAM
LEXOMIL	BROMAZEPAM
PROCARBAZINA [INN-SPANISH]	PROCARBAZINE
AFRIN ORIGINAL 12 HOUR PUMP MIST	OXYMETAZOLINE
DICUSAT E	WARFARIN
FLUOURACIL	FLUOROURACIL
UPFEN	IBUPROFEN
DILTA-HEXAL	DILTIAZEM
SELDANE	TERFENADINE
NOROXIN	NORFLOXACIN
SULFOSE	SULFADIAZINE
PANFUNGOL	KETOCONAZOLE
DOMEFORM	CLIOQUINOL
SCRUBTEAM SURGICAL SPONGEBRUSH	HEXACHLOROPHENE
ALGAFAN	PROPOXYPHENE
DINESTROL	DIENESTROL
INHIBRIL	LISINOPRIL
FENINDAMINA [INN-SPANISH]	PHENINDAMINE
MELTROL	PHENFORMIN
EUGLYKON	GLYBURIDE
BISCHLORETHYLNITROSUREA	CARMUSTINE
VENTOLIN ROTACAPS	SALBUTAMOL
BETA-RETINOIC ACID	TRETINOIN
NOXYRON	GLUTETHIMIDE
VINORELBIN	VINORELBINE
TOTACILLIN	AMPICILLIN
LIFEAMPIL	AMPICILLIN
MONOCLAIR	ISOSORBIDE MONONITRATE
CORTISUMMAN	DEXAMETHASONE
STV	STAVUDINE
ZETO	AZITHROMYCIN
AMINODARONE	AMIODARONE
AFTATE FOR JOCK ITCH SPRINKLE POWDER	TOLNAFTATE
VALGIS	THALIDOMIDE
KINADION	PHYTONADIONE
LANDSEN	CLONAZEPAM
EDRONAX	REBOXETINE
ACICLOVIER	ACYCLOVIR
VIADUR	LEUPROLIDE
ENDRYDIL	DILTIAZEM
MILTAMATO	MEPROBAMATE
LOPERAMIDE HCL	LOPERAMIDE
CATARPRESAN	CLONIDINE
GUAIPAX	PHENYLPROPANOLAMINE
PARANTEN	DIAZEPAM
FURAZYME	NITROFURAZONE
DETREOMYCIN	CHLORAMPHENICOL
ANZEMET	DOLASETRON
ORALONE	TRIAMCINOLONE
ATI-02	LUCINACTANT
RAZOXANUM [INN-LATIN]	DEXRAZOXANE
SEMBRINA	METHYLDOPA
KOKOTINE	LINDANE
CORTISOL	HYDROCORTISONE
TIOTIXENO [INN-SPANISH]	THIOTHIXENE
ADAPALENUM [INN-LATIN]	ADAPALENE
AMPICILLIN ACID	AMPICILLIN
BRONKODYL	THEOPHYLLINE
COLESEVELAM HYDROCHLORIDE	COLESEVELAM
PEGANONE	ETHOTOIN
ALOPERIDON	HALOPERIDOL
ALOPERIDOL	HALOPERIDOL
ULCORT	HYDROCORTAMATE
ANAESTHIN	BENZOCAINE
ISOTHIPENDYL	ISOTHIPENDYL
TRIDESILON	DESONIDE
PROCATEROL	PROCATEROL
HIMITAN	PYRIDOXAL PHOSPHATE
NIMODIPINE	NIMODIPINE
BUDESON	BUDESONIDE
KETANEST	KETAMINE
NATRECOR	NESIRITIDE
METHYLAMINOPTERIN	METHOTREXATE
NODON	NEBIVOLOL
CONVEXINA	TRIMETHADIONE
TOLTERODINUM [INN-LATIN]	TOLTERODINE
IMIDOUREA	GUANIDINE
NORTRIPTYLINE HCL	NORTRIPTYLINE
SEPYRON	CYCLANDELATE
FLUDARABINE PHOSPHATE	FLUDARABINE
IDU OCULOS	IDOXURIDINE
HYDRODIURIL	HYDROCHLOROTHIAZIDE
AMNESTEEM	TRETINOIN
ACEPROMAZINE	ACEPROMAZINE
TOMOXETINUM [LATIN]	ATOMOXETINE
AMILORIDUM [INN-LATIN]	AMILORIDE
ULCODIN	RANITIDINE
SULFIDINE	SULFAPYRIDINE
BETAZED	PHENYLBUTAZONE
CORQUE	CLIOQUINOL
MESTRONAQ	ESTRONE
ATEREAL	ATENOLOL
URSOBILIN	URSODEOXYCHOLIC ACID
ANEUXAL	MEPROBAMATE
BETAZOLUM [INN-LATIN]	BETAZOLE
TALIGLUCERASE ALFA	TALIGLUCERASE ALFA
LOPRESSOR	METOPROLOL
ENPHENEMAL	METHYLPHENOBARBITAL
REICHSTEIN'S SUBSTANCE M	HYDROCORTISONE
REFUSAL	DISULFIRAM
SYN-DILTIAZEM	DILTIAZEM
OPREN	BENOXAPROFEN
EU-MED	ACETAMINOPHEN
MELLARIL	THIORIDAZINE
LOREXANE	LINDANE
LETTER	LEVOTHYROXINE
ENDRATE	EDETIC ACID
SPASEPILIN	PHENOBARBITAL
PYRAZOLO(1,5-A)PYRIDINE, 3-ISOBUTYRYL-2-ISOPROPYL-	IBUDILAST
METARAMINOL BITARTRATE	METARAMINOL
DIEMTHYL SULFOXIDE	DIMETHYL SULFOXIDE
SYMPAMINE	AMPHETAMINE
CHLORZOXAZON	CHLORZOXAZONE
DELTISILONE	PREDNISOLONE
DIPHASTON	DYDROGESTERONE
MUNOLOC	MYCOPHENOLATE MOFETIL
17BETA-HYDROXY-5ALPHA-ANDROSTAN-3-ONE	DIHYDROTESTOSTERONE
PONSTYL	MEFENAMIC ACID
AZOKSODON	PEMOLINE
THIOPENTOBARBITURIC ACID	THIOPENTAL
PMS-METFORMIN	METFORMIN
METHYL VIOLET 10B	GENTIAN VIOLET
PIPERSAL	MEPERIDINE
CARBIMAZOLUM [INN-LATIN]	CARBIMAZOLE
MEPHYTON	PHYTONADIONE
CAPLARIL	HYDROCHLOROTHIAZIDE
ASACOLITIN	MESALAZINE
EDTA	EDETIC ACID
PARABAXIN	METHOCARBAMOL
WELLCOME	CYCLIZINE
FENIHIDIN	NIFEDIPINE
AIZEN CRYSTAL VIOLET	GENTIAN VIOLET
SIROTOL	GUAIFENESIN
ETHAMBUTOL HYDROCHLORIDE	ETHAMBUTOL
ANPUZONE	PHENYLBUTAZONE
CARDICOR	BISOPROLOL
LOGOS	FAMOTIDINE
QUIBRON	THEOPHYLLINE
RITALINE	METHYLPHENIDATE
DESPASMOL	MEPROBAMATE
TELITHROMYCIN	TELITHROMYCIN
CENOLATE	VITAMIN C
(S)-	L-LYSINE
LEVOKACIN	LEVOFLOXACIN
VITRASE	HYALURONIDASE
ROBIZONE-V	PHENYLBUTAZONE
BICALUTAMIDE	BICALUTAMIDE
INCB018424	RUXOLITINIB
PREDNELAN	PREDNISOLONE
SOMOPHYLLIN-DF	THEOPHYLLINE
CRONOL	FAMOTIDINE
KOMBETIN	OUABAIN
BETATREX	BETAMETHASONE
CHLORAMFILIN	CHLORAMPHENICOL
AMFIPEN V	AMPICILLIN
MEGALOCIN	FLEROXACIN
BISMUTH OXIDE SALICYLATE	BISMUTH SUBSALICYLATE
ALCOPHOBIN	DISULFIRAM
EUBASINUM	SULFAPYRIDINE
RITALIN	METHYLPHENIDATE
ROPIVACAINUM [INN-LATIN]	ROPIVACAINE
CAFFINE	CAFFEINE
LYTECA	ACETAMINOPHEN
ARCOXIA	ETORICOXIB
PHENOBARBITURIC ACID	PHENOBARBITAL
BISMUTH CAPLETS	BISMUTH SUBSALICYLATE
RESKINNAMIN	RESCINNAMINE
TRESITOPE	LIOTHYRONINE
NU-MEDOPA	METHYLDOPA
PORTORIL	OXYPHENBUTAZONE
ZONIDEN	TIOCONAZOLE
REXER	MIRTAZAPINE
GASTROSEDOL	RANITIDINE
LIPORIL	CLOFIBRATE
IBUPROPHEN	IBUPROFEN
DERMOXIN	TOLNAFTATE
HEXAZINONE	HEXACHLOROPHENE
SULFISOXAZOL	SULFISOXAZOLE
PIRETANIDE	PIRETANIDE
CRINOVARYL	ESTRONE
TELMIN	MEBENDAZOLE
MISOLYNE	PRIMIDONE
HYDROKSYZYNY [POLISH]	HYDROXYZINE
ANAFLOGISTICO	DEXAMETHASONE
PROCTOCORT	HYDROCORTISONE
METHYLHEXABITAL	HEXOBARBITAL
CRONODIONE	PHENINDIONE
TEGRETOL	CARBAMAZEPINE
DISULFURAM	DISULFIRAM
DEXTROMETHORPHAN BROMHYDRATE	DEXTROMETHORPHAN
ECODIPIN	NIFEDIPINE
FOMEPIZOLE	FOMEPIZOLE
NOVAMID	PYRAZINAMIDE
NOVAMIN	PROCHLORPERAZINE
5-FLUROCYTOSINE	FLUCYTOSINE
TRANQUILATE	MEPROBAMATE
REGAINE	MINOXIDIL
WELLCOVORIN	LEUCOVORIN
PROCARDIA XL	NIFEDIPINE
ERINA	MEPROBAMATE
MACROLEUCO	FILGRASTIM
EFALIZUMAB	EFALIZUMAB
MED-PRO	MEDROXYPROGESTERONE
SENSORCAINE	BUPIVACAINE
AMBODRYL	DIPHENHYDRAMINE
ACIDO ETIDRONICO [INN-SPANISH]	ETIDRONIC ACID
N-METHYLPHENTERMINE	MEPHENTERMINE
TEOFYLLAMIN	THEOPHYLLINE
DEAMINO-HYDROXYTOREMIFENE	OSPEMIFENE
APELAGRIN	NIACIN
CAMPATH (ILEX PHARMACEUTICALS LP)	ALEMTUZUMAB
ACETAGESIC	ACETAMINOPHEN
CARTEOLOL HYDROCHLORIDE	CARTEOLOL
BENZOLONE	AMPHETAMINE
REDERGIN	ERGOLOID MESYLATE
ADOFEN	FLUOXETINE
METHYLPREDNISOLON	METHYLPREDNISOLONE
PROXIMETACAINA [INN-SPANISH]	PROPARACAINE
METOTHYRIN	METHIMAZOLE
OMALIZUMAB	OMALIZUMAB
APOPRIL	CAPTOPRIL
IDROTIAZIDE	HYDROCHLOROTHIAZIDE
ENTERFRAM	FRAMYCETIN
L-GLUTAMIC ACID	L-GLUTAMIC ACID
(-)-MILNACIPRAN	MILNACIPRAN
ZENOXONE	HYDROCORTISONE
DEPIX	FUROSEMIDE
NAQUA	TRICHLORMETHIAZIDE
PENTOLAIR	CYCLOPENTOLATE
DEPIN	NIFEDIPINE
GLIBORAL	GLYBURIDE
S-20098	AGOMELATINE
ARAVA	LEFLUNOMIDE
